Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Quantum of Solace,2008,Marc Forster,UK/USA,"Action, Adventure",106 min,"Daniel Craig, Olga Kurylenko",Barbara Broccoli,David Arnold,Chris Corbould,[Recension](https://www.google.com/search?q=James+Bond+Quantum+of+Solace+review),D:\Film action\James Bond Movie Pack\James Bond Quantum of Solace 2008.mkv,,,X
Skyfall,2012,Sam Mendes,UK/USA,"Action, Adventure",143 min,"Daniel Craig, Javier Bardem",Barbara Broccoli,Thomas Newman,Chris Corbould,[Recension](https://www.google.com/search?q=James+Bond+Skyfall+review),D:\Film action\James Bond Movie Pack\James Bond Skyfall 2012.mkv,,,X
Spectre,2015,Sam Mendes,UK/USA,"Action, Adventure",148 min,"Daniel Craig, Christoph Waltz",Barbara Broccoli,Thomas Newman,Chris Corbould,[Recension](https://www.google.com/search?q=James+Bond+Spectre+2015+review),D:\Film action\James Bond Movie Pack\James Bond Spectre 2015.mkv,,,X
The Living Daylights,1987,John Glen,UK/USA,"Action, Adventure",131 min,"Timothy Dalton, Maryam d'Abo",Albert R. Broccoli,John Barry,John Richardson,[Recension](https://www.google.com/search?q=James+Bond+The+Living+Daylights+review),D:\Film action\James Bond Movie Pack\James Bond The Living Daylights 1987.mkv,,,X
The Man with the Golden Gun,1974,Guy Hamilton,UK,"Action, Adventure",125 min,"Roger Moore, Christopher Lee",Albert R. Broccoli,John Barry,John Stears,[Recension](https://www.google.com/search?q=James+Bond+The+Man+with+the+Golden+Gun+review),D:\Film action\James Bond Movie Pack\James Bond The Man With The Golden Gun 1974.mkv,,,X
The Spy Who Loved Me,1977,Lewis Gilbert,UK,"Action, Adventure",125 min,"Roger Moore, Barbara Bach",Albert R. Broccoli,Marvin Hamlisch,Derek Meddings,[Recension](https://www.google.com/search?q=James+Bond+The+Spy+Who+Loved+Me+review),D:\Film action\James Bond Movie Pack\James Bond The Spy Who Loved Me 1977.mkv,,,X
The World Is Not Enough,1999,Michael Apted,UK/USA,"Action, Adventure",128 min,"Pierce Brosnan, Sophie Marceau",Barbara Broccoli,David Arnold,Chris Corbould,[Recension](https://www.google.com/search?q=James+Bond+The+World+Is+Not+Enough+review),D:\Film action\James Bond Movie Pack\James Bond The World Is Not Enough 1999.mkv,,,X
Thunderball,1965,Terence Young,UK,"Action, Adventure",130 min,"Sean Connery, Claudine Auger",Kevin McClory,John Barry,John Stears,[Recension](https://www.google.com/search?q=James+Bond+Thunderball+review),D:\Film action\James Bond Movie Pack\James Bond Thunderball 1965.mkv,,,X
Tomorrow Never Dies,1997,Roger Spottiswoode,UK/USA,"Action, Adventure",119 min,"Pierce Brosnan, Michelle Yeoh",Barbara Broccoli,David Arnold,Chris Corbould,[Recension](https://www.google.com/search?q=James+Bond+Tomorrow+Never+Dies+review),D:\Film action\James Bond Movie Pack\James Bond Tomorrow Never Dies 1997.mkv,,,X
You Only Live Twice,1967,Lewis Gilbert,UK,"Action, Adventure",117 min,"Sean Connery, Akiko Wakabayashi",Albert R. Broccoli,John Barry,John Stears,[Recension](https://www.google.com/search?q=James+Bond+You+Only+Live+Twice+review),D:\Film action\James Bond Movie Pack\James Bond You Only Live Twice 1967.mkv,,,X
Akira,1988,Katsuhiro Otomo,Japan,"Animation, Sci-Fi",124 min,"Mitsuo Iwata, Nozomu Sasaki",Ryohei Suzuki,Geinoh Yamashirogumi,N/A,[Recension](https://www.google.com/search?q=Akira+1988+movie+review),D:\Film animerat\Akira.1988.2160p.4K.mkv,,,X
Angel's Egg,1985,Mamoru Oshii,Japan,"Animation, Fantasy",71 min,"Mako Hyodo, Jinpachi Nezu",Hiroshi Hasegawa,Yoshihiro Kanno,N/A,[Recension](https://www.google.com/search?q=Angel's+Egg+1985+movie+review),D:\Film animerat\Angels.Egg.1985.1080p.mkv,,,X
Blood: The Last Vampire,2000,Hiroyuki Kitakubo,Japan,"Animation, Horror",48 min,"Youki Kudoh, Saemi Nakamura",Ken Iyadomi,Yoshihiro Ike,N/A,[Recension](https://www.google.com/search?q=Blood+The+Last+Vampire+2000+review),D:\Film animerat\Blood.The.Last.Vampire.2000.1080p.mp4,,,X
Castle in the Sky,1986,Hayao Miyazaki,Japan,"Animation, Adventure",124 min,"Mayumi Tanaka, Keiko Yokozawa",Isao Takahata,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Castle+in+the+Sky+1986+movie+review),D:\Film animerat\Castle.In.The.Sky.1986.1080p.mp4,,,X
Fantastic Planet,1973,René Laloux,Frankrike,"Animation, Sci-Fi",72 min,"Jennifer Drake, Eric Baugin",Simon Damiani,Alain Goraguer,N/A,[Recension](https://www.google.com/search?q=Fantastic+Planet+1973+movie+review),D:\Film animerat\Fantastic.Planet.1973.1080p.mkv,,,X
Fritz the Cat,1972,Ralph Bakshi,USA,"Animation, Comedy",78 min,"Skip Hinnant, Rosetta LeNoire",Steve Krantz,Ed Bogas,N/A,[Recension](https://www.google.com/search?q=Fritz+the+Cat+1972+movie+review),D:\Film animerat\Fritz.The.Cat.1972.1080p.mp4,,,X
Gandahar,1987,René Laloux,Frankrike,"Animation, Sci-Fi",79 min,"Pierre-Marie Escourrou, Catherine Chevallier",Leon Zuratas,Gabriel Yared,N/A,[Recension](https://www.google.com/search?q=Gandahar+1987+movie+review),D:\Film animerat\Gandahar.1987.1080p.mp4,,,X
Heavy Metal,1981,Gerald Potterton,Kanada,"Animation, Sci-Fi",92 min,"Richard Romanus, John Candy",Ivan Reitman,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Heavy+Metal+1981+movie+review),D:\Film animerat\Heavy.Metal.1981.1080p.mp4,,,X
Heavy Metal 2000,2000,Michael Coldewey,Kanada/Tyskland,"Animation, Sci-Fi",88 min,"Michael Ironside, Julie Strain",Michel Shane,Frédéric Talgorn,N/A,[Recension](https://www.google.com/search?q=Heavy+Metal+2000+movie+review),D:\Film animerat\Heavy.Metal.2000.2000.1080p.mp4,,,X
Phoenix 2772 (Part 1),1980,Taku Sugiyama,Japan,"Animation, Sci-Fi",122 min,"Kaneto Shiozawa, Katsue Miwa",Kiichi Ichikawa,Yasuo Koyama,N/A,[Recension](https://www.google.com/search?q=Phoenix+2772+1980+movie+review),D:\Film animerat\Hi.no.Tori.2772.Ai.no.Kosumozon.1980.(1).mkv,,,X
Phoenix 2772 (Part 2),1980,Taku Sugiyama,Japan,"Animation, Sci-Fi",122 min,"Kaneto Shiozawa, Katsue Miwa",Kiichi Ichikawa,Yasuo Koyama,N/A,[Recension](https://www.google.com/search?q=Phoenix+2772+1980+movie+review),D:\Film animerat\Hi.no.Tori.2772.Ai.no.Kosumozon.1980.(2).mkv,,,X
How to Train Your Dragon,2025,Dean DeBlois,USA,"Action, Adventure",104 min,"Mason Thames, Nico Parker",Marc Platt,John Powell,N/A,[Recension](https://www.google.com/search?q=How+to+Train+Your+Dragon+2025+movie+review),D:\Film animerat\How.To.Train.Your.Dragon.2025.1080p.mp4,,,X
Howl's Moving Castle,2004,Hayao Miyazaki,Japan,"Animation, Fantasy",119 min,"Chieko Baisho, Takuya Kimura",Toshio Suzuki,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Howl's+Moving+Castle+2004+movie+review),D:\Film animerat\Howl's.Moving.Castle.2004.1080p.mp4,,,X
No Dogs or Italians Allowed,2022,Alain Ughetto,Frankrike/Italien,"Animation, Drama",70 min,"Ariane Ascaride, Alain Ughetto",Alexandre Cornu,Nicola Piovani,N/A,[Recension](https://www.google.com/search?q=No+Dogs+or+Italians+Allowed+review),D:\Film animerat\Interdit.Aux.Chiens.Et.Aux.Italiens.2022.1080p.mp4,,,X
Interstella 5555,2003,Kazuhisa Takenouchi,Japan/Frankrike,"Animation, Musical",68 min,"Daft Punk, Thomas Bangalter",Thomas Bangalter,Daft Punk,N/A,[Recension](https://www.google.com/search?q=Interstella+5555+2003+movie+review),D:\Film animerat\Interstella 5555 (2003).mkv,,,X
Mars Express,2023,Jérémie Périn,Frankrike,"Animation, Sci-Fi",88 min,"Léa Drucker, Mathieu Amalric",Dider Creste,Fred Avril,N/A,[Recension](https://www.google.com/search?q=Mars+Express+2023+movie+review),D:\Film animerat\Mars.Express.2023.2160p.4K.mkv,,,X
Mary and Max,2009,Adam Elliot,Australien,"Animation, Drama",92 min,"Toni Collette, Philip Seymour Hoffman",Melanie Coombs,Dale Cornelius,N/A,[Recension](https://www.google.com/search?q=Mary+and+Max+2009+movie+review),D:\Film animerat\Mary.and.Max.2009.1080p.mp4,,,X
Memories,1995,Katsuhiro Otomo,Japan,"Animation, Sci-Fi",113 min,"Shigeru Chiba, Hisako Kyoda",Shigeru Watanabe,Yoko Kanno,N/A,[Recension](https://www.google.com/search?q=Memories+1995+anime+review),D:\Film animerat\Memories.1995.1080p.mp4,,,X
Muppet Treasure Island,1996,Brian Henson,USA,"Adventure, Comedy",99 min,"Tim Curry, Kevin Bishop",Brian Henson,Hans Zimmer,N/A,[Recension](https://www.google.com/search?q=Muppet+Treasure+Island+1996+movie+review),D:\Film animerat\Muppet.Treasure.Island.1996.1080p.mp4,,,X
My Neighbor Totoro,1988,Hayao Miyazaki,Japan,"Animation, Fantasy",86 min,"Noriko Hidaka, Chika Sakamoto",Toru Hara,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=My+Neighbor+Totoro+1988+movie+review),D:\Film animerat\My.Neighbor.Totoro.1988.1080p.mp4,,,X
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Japan,"Animation, Sci-Fi",117 min,"Sumi Shimamoto, Mahito Tsujimura",Isao Takahata,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Nausicaa+of+the+Valley+of+the+Wind+review),D:\Film animerat\Nausicaa.Of.The.Valley.Of.The.Wind.1984.1080p.mp4,,,X
Paprika,2006,Satoshi Kon,Japan,"Animation, Sci-Fi",90 min,"Megumi Hayashibara, Toru Emori",Jungo Maruta,Susumu Hirasawa,N/A,[Recension](https://www.google.com/search?q=Paprika+2006+movie+review),D:\Film animerat\Paprika.2006.2160p.4K.mkv,,,X
Perfect Blue,1997,Satoshi Kon,Japan,"Animation, Thriller",81 min,"Junko Iwao, Rica Matsumoto",Hiroaki Inoue,Masahiro Ikumi,N/A,[Recension](https://www.google.com/search?q=Perfect+Blue+1997+movie+review),D:\Film animerat\Perfect.Blue.1997.1080p.mp4,,,X
Perfect Blue (Remastered),1997,Satoshi Kon,Japan,"Animation, Thriller",81 min,"Junko Iwao, Rica Matsumoto",Hiroaki Inoue,Masahiro Ikumi,N/A,[Recension](https://www.google.com/search?q=Perfect+Blue+1997+movie+review),D:\Film animerat\Perfect.Blue.1997.JAPANESE.REMASTERED.1080p.mkv,,,X
Ponyo,2008,Hayao Miyazaki,Japan,"Animation, Fantasy",101 min,"Yuria Nara, Hiroki Doi",Toshio Suzuki,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Ponyo+2008+movie+review),D:\Film animerat\Ponyo.2008.1080p.mp4,,,X
Princess Mononoke,1997,Hayao Miyazaki,Japan,"Animation, Fantasy",134 min,"Yoji Matsuda, Yuriko Ishida",Toshio Suzuki,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Princess+Mononoke+1997+movie+review),D:\Film animerat\Princess.Mononoke.1997.1080p.mp4,,,X
Scooby-Doo on Zombie Island,1998,Jim Stenstrum,USA,"Animation, Mystery",77 min,"Scott Innes, Billy West",Cosgrove Hall,Steven Bramson,N/A,[Recension](https://www.google.com/search?q=Scooby-Doo+on+Zombie+Island+review),D:\Film animerat\Scooby-Doo.on.Zombie.Island.1998.1080p.mkv,,,X
Spirited Away,2001,Hayao Miyazaki,Japan,"Animation, Fantasy",125 min,"Rumi Hiiragi, Miyu Irino",Toshio Suzuki,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Spirited+Away+2001+movie+review),D:\Film animerat\Spirited.Away.2001.1080p.mp4,,,X
Suzume,2022,Makoto Shinkai,Japan,"Animation, Fantasy",122 min,"Nanoka Hara, Hokuto Matsumura",Koichiro Ito,Radwimps,N/A,[Recension](https://www.google.com/search?q=Suzume+2022+movie+review),D:\Film animerat\Suzume.2022.1080p.mp4,,,X
The Castle of Cagliostro,1979,Hayao Miyazaki,Japan,"Animation, Adventure",100 min,"Yasuo Yamada, Kiyoshi Kobayashi",Tetsuo Katayama,Yuji Ohno,N/A,[Recension](https://www.google.com/search?q=The+Castle+of+Cagliostro+review),D:\Film animerat\The Castle.Of.Cagliostro.1979.1080p.mp4,,,X
The Hobbit,1977,"Jules Bass, Arthur Rankin Jr.",USA,"Animation, Fantasy",77 min,"Orson Bean, Richard Boone",Rankin/Bass,Maury Laws,N/A,[Recension](https://www.google.com/search?q=The+Hobbit+1977+animation+review),D:\Film animerat\The Hobbit.1977.1080p.mkv,,,X
The Lord of the Rings,1978,Ralph Bakshi,USA,"Animation, Fantasy",132 min,"Christopher Guard, William Squire",Saul Zaentz,Leonard Rosenman,N/A,[Recension](https://www.google.com/search?q=The+Lord+of+the+Rings+1978+animation+review),D:\Film animerat\The Lord.Of.The.Rings.1978.1080p.mp4,,,X
The Muppet Movie,1979,James Frawley,USA,"Adventure, Comedy",95 min,"Jim Henson, Frank Oz",Jim Henson,Paul Williams,N/A,[Recension](https://www.google.com/search?q=The+Muppet+Movie+1979+review),D:\Film animerat\The Muppet.Movie.1979.1080p.mp4,,,X
The Pied Piper,1986,Jirí Barta,Tjeckoslovakien,"Animation, Fantasy",53 min,N/A (Puppetry),Jirí Barta,Jirí Stivín,N/A,[Recension](https://www.google.com/search?q=The+Pied+Piper+Jiri+Barta+review),D:\Film animerat\The Pied.Piper.1986.1080p.mp4,,,X
The Rescuers Down Under (File 1),1990,Hendel Butoy,USA,"Animation, Adventure",77 min,"Bob Newhart, Eva Gabor",Thomas Schumacher,Bruce Broughton,N/A,[Recension](https://www.google.com/search?q=The+Rescuers+Down+Under+review),D:\Film animerat\The Rescuers.Down.Under.1990.1080p.(1).mkv,,,X
The Rescuers Down Under (File 2),1990,Hendel Butoy,USA,"Animation, Adventure",77 min,"Bob Newhart, Eva Gabor",Thomas Schumacher,Bruce Broughton,N/A,[Recension](https://www.google.com/search?q=The+Rescuers+Down+Under+review),D:\Film animerat\The Rescuers.Down.Under.1990.1080p.(2).mkv,,,X
The Return of the King,1980,"Jules Bass, Arthur Rankin Jr.",USA,"Animation, Fantasy",98 min,"Orson Bean, John Huston",Rankin/Bass,Maury Laws,N/A,[Recension](https://www.google.com/search?q=The+Return+of+the+King+1980+animation+review),D:\Film animerat\The Return.Of.The.King.1980.1080p.mp4,,,X
The Super Mario Bros. Movie,2023,"Aaron Horvath, Michael Jelenic",USA/Japan,"Animation, Adventure",92 min,"Chris Pratt, Anya Taylor-Joy",Chris Meledandri,Brian Tyler,N/A,[Recension](https://www.google.com/search?q=The+Super+Mario+Bros+Movie+2023+review),D:\Film animerat\The Super.Mario.Bros.Movie.2023.1080p.mkv,,,X
The Wind Rises,2013,Hayao Miyazaki,Japan,"Animation, Drama",126 min,"Hideaki Anno, Miori Takimoto",Toshio Suzuki,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=The+Wind+Rises+2013+movie+review),D:\Film animerat\The Wind.Rises.2013.1080p.mp4,,,X
Tintin and the Lake of Sharks,1972,Raymond Leblanc,Frankrike/Belgien,"Animation, Adventure",81 min,"Philippe Ogouz, Claude Bertrand",Raymond Leblanc,François Rauber,N/A,[Recension](https://www.google.com/search?q=Tintin+and+the+Lake+of+Sharks+review),D:\Film animerat\Tintin.Et.Le.Lac.Aux.Requins.1972.1080p.mp4,,,X
Tokyo Godfathers,2003,Satoshi Kon,Japan,"Animation, Comedy",92 min,"Toru Emori, Yoshiaki Umegaki",Masao Maruyama,Keiichi Suzuki,N/A,[Recension](https://www.google.com/search?q=Tokyo+Godfathers+2003+movie+review),D:\Film animerat\Tokyo.Godfathers.2003.1080p.mp4,,,X
Toy Story,1995,John Lasseter,USA,"Animation, Comedy",81 min,"Tom Hanks, Tim Allen",Ralph Guggenheim,Randy Newman,N/A,[Recension](https://www.google.com/search?q=Toy+Story+1995+movie+review),D:\Film animerat\Toy.Story.1995.2160p.4K.mkv,,,X
Toy Story 2,1999,John Lasseter,USA,"Animation, Comedy",92 min,"Tom Hanks, Tim Allen",Helene Plotkin,Randy Newman,N/A,[Recension](https://www.google.com/search?q=Toy+Story+2+1999+movie+review),D:\Film animerat\Toy.Story.2.1999.2160p.4K.mkv,,,X
Toy Story 3,2010,Lee Unkrich,USA,"Animation, Comedy",103 min,"Tom Hanks, Tim Allen",Darla K. Anderson,Randy Newman,N/A,[Recension](https://www.google.com/search?q=Toy+Story+3+2010+movie+review),D:\Film animerat\Toy.Story.3.2010.2160p.4K.mkv,,,X
Urotsukidōji II: Legend of the Demon Womb,1991,Hideki Takayama,Japan,"Animation, Horror",88 min,"Nobuo Tobita, Ami Koshimizu",Yoshinobu Nishizaki,Masamichi Amano,N/A,[Recension](https://www.google.com/search?q=Urotsukidoji+II+Legend+of+the+Demon+Womb+review),D:\Film animerat\Urotsukidoji.II.Legend.Of.The.Demon.Womb.1991.1080p.mp4,,,X
Urotsukidōji: Legend of the Overfiend,1989,Hideki Takayama,Japan,"Animation, Horror",108 min,"Nobuo Tobita, Kazuhiro Nakata",Yoshinobu Nishizaki,Masamichi Amano,N/A,[Recension](https://www.google.com/search?q=Urotsukidoji+Legend+of+the+Overfiend+review),D:\Film animerat\Urotsukidoji.Legend.Of.The.Overfiend.1989.1080p.mp4,,,X
Vampire Hunter D,1985,Toyoo Ashida,Japan,"Animation, Fantasy",80 min,"Kaneto Shiozawa, Michie Tomizawa",Hiroshi Kato,Tetsuya Komuro,N/A,[Recension](https://www.google.com/search?q=Vampire+Hunter+D+1985+movie+review),D:\Film animerat\Vampire.Hunter.D.1985.JAPANESE.REPACK.1080p.mp4,,,X
Vampire Hunter D: Bloodlust,2000,Yoshiaki Kawajiri,Japan,"Animation, Fantasy",103 min,"Hideyuki Tanaka, Ichirō Nagai",Masao Maruyama,Marco D'Ambrosio,N/A,[Recension](https://www.google.com/search?q=Vampire+Hunter+D+Bloodlust+2000+review),D:\Film animerat\Vampire.Hunter.D.Bloodlust.2000.1080p.mp4,,,X
Who Framed Roger Rabbit,1988,Robert Zemeckis,USA,"Animation, Comedy",104 min,"Bob Hoskins, Christopher Lloyd",Frank Marshall,Alan Silvestri,Ken Ralston,[Recension](https://www.google.com/search?q=Who+Framed+Roger+Rabbit+1988+movie+review),D:\Film animerat\Who.Framed.Roger.Rabbit.1988.2160p.4K.mkv,,,X
Wizards,1977,Ralph Bakshi,USA,"Animation, Fantasy",80 min,"Bob Holt, Jesse Wells",Ralph Bakshi,Andrew Belling,N/A,[Recension](https://www.google.com/search?q=Wizards+1977+movie+review),D:\Film animerat\Wizards.1977.1080p.mp4,,,X
A Better Tomorrow,1986,John Woo,Hongkong,"Action, Crime",95 min,"Ti Lung, Leslie Cheung, Chow Yun-fat",Tsui Hark,Joseph Koo,N/A,[Recension](https://www.google.com/search?q=A+Better+Tomorrow+1986+movie+review),D:\Film Asia\Hong Kong och Kina\A Better Tomorrow (1986).mkv,,,X
A Better Tomorrow II,1987,John Woo,Hongkong,"Action, Crime",105 min,"Ti Lung, Chow Yun-fat",Tsui Hark,Joseph Koo,N/A,[Recension](https://www.google.com/search?q=A+Better+Tomorrow+II+1987+movie+review),D:\Film Asia\Hong Kong och Kina\A Better Tomorrow II (1987).mkv,,,X
Armour of God,1986,Jackie Chan,Hongkong,"Action, Adventure",88 min,"Jackie Chan, Alan Tam",Raymond Chow,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Armour+of+God+1986+movie+review),D:\Film Asia\Hong Kong och Kina\Armour.Of.God.1986.1080p.mp4,,,X
Bullet in the Head,1990,John Woo,Hongkong,"Action, Crime",136 min,"Tony Leung, Jacky Cheung",John Woo,James Wong,N/A,[Recension](https://www.google.com/search?q=Bullet+in+the+Head+1990+movie+review),D:\Film Asia\Hong Kong och Kina\Bullet.In.The.Head.1990.1080p.mp4,,,X
Chungking Express,1994,Wong Kar-wai,Hongkong,"Drama, Comedy",102 min,"Brigitte Lin, Tony Leung",Chan Yi-kan,Frankie Chan,N/A,[Recension](https://www.google.com/search?q=Chungking+Express+1994+movie+review),D:\Film Asia\Hong Kong och Kina\Chungking.Express.1994.1080p.mp4,,,X
Detective Chinatown 1900,2025,Chen Sicheng,Kina,"Action, Comedy",120 min,"Wang Baoqiang, Liu Haoran",Chen Sicheng,N/A,N/A,[Recension](https://www.google.com/search?q=Detective+Chinatown+1900+2025+review),D:\Film Asia\Hong Kong och Kina\Detective.Chinatown.1900.2025.2025.1080p.mp4,,,X
Dragons Forever,1988,Sammo Hung,Hongkong,"Action, Comedy",94 min,"Jackie Chan, Sammo Hung",Leonard Ho,James Wong,N/A,[Recension](https://www.google.com/search?q=Dragons+Forever+1988+movie+review),D:\Film Asia\Hong Kong och Kina\Dragons.Forever.1988.1080p.mp4,,,X
Dreadnaught,1981,Yuen Woo-ping,Hongkong,"Action, Comedy",95 min,"Yuen Biao, Bryan Leung",Raymond Chow,Tang Siu-lam,N/A,[Recension](https://www.google.com/search?q=Dreadnaught+1981+movie+review),D:\Film Asia\Hong Kong och Kina\Dreadnaught.1981.1080p.mp4,,,X
Eastern Condors,1987,Sammo Hung,Hongkong,"Action, War",93 min,"Sammo Hung, Yuen Biao",Leonard Ho,Sherman Chow,N/A,[Recension](https://www.google.com/search?q=Eastern+Condors+1987+movie+review),D:\Film Asia\Hong Kong och Kina\Eastern.Condors.1987.1080p.mp4,,,X
Encounter of the Spooky Kind,1980,Sammo Hung,Hongkong,"Action, Comedy, Horror",102 min,"Sammo Hung, Chung Fat",Raymond Chow,N/A,N/A,[Recension](https://www.google.com/search?q=Encounter+of+the+Spooky+Kind+1980+review),D:\Film Asia\Hong Kong och Kina\Encounter.Of.The.Spooky.Kind.1980.1080p.mp4,,,X
Enter the Dragon,1973,Robert Clouse,Hongkong/USA,"Action, Martial Arts",102 min,"Bruce Lee, John Saxon",Fred Weintraub,Lalo Schifrin,N/A,[Recension](https://www.google.com/search?q=Enter+the+Dragon+1973+movie+review),D:\Film Asia\Hong Kong och Kina\Enter The Dragon 1973 1080p.mkv,,,X
Eros,2004,"Wong Kar-wai, Soderbergh, Antonioni",Hongkong/USA,"Drama, Romance",104 min,"Gong Li, Chang Chen",Jacky Pang Yee-wah,Peer Raben,N/A,[Recension](https://www.google.com/search?q=Eros+2004+movie+review),D:\Film Asia\Hong Kong och Kina\Eros.2004.1080p.mp4,,,X
Face/Off,1997,John Woo,USA,"Action, Sci-Fi",138 min,"John Travolta, Nicolas Cage",Terence Chang,John Powell,Boyd Shermis,[Recension](https://www.google.com/search?q=Face+Off+1997+movie+review),D:\Film Asia\Hong Kong och Kina\Face.Off.1997.2160p.4K.mkv,,,X
Farewell My Concubine,1993,Chen Kaige,Kina/Hongkong,"Drama, Romance",171 min,"Leslie Cheung, Zhang Fengyi",Hsu Feng,Zhao Jiping,N/A,[Recension](https://www.google.com/search?q=Farewell+My+Concubine+1993+movie+review),D:\Film Asia\Hong Kong och Kina\Farewell.My.Concubine.1993.CHINESE.1080p.mp4,,,X
Fist of Fury,1972,Lo Wei,Hongkong,"Action, Martial Arts",106 min,"Bruce Lee, Nora Miao",Raymond Chow,Joseph Koo,N/A,[Recension](https://www.google.com/search?q=Fist+of+Fury+1972+movie+review),D:\Film Asia\Hong Kong och Kina\Fist of Fury 1972 1080p.mkv,,,X
Fist of Legend,1994,Gordon Chan,Hongkong,"Action, Martial Arts",103 min,"Jet Li, Chin Siu-ho",Jet Li,Stephen Edwards,N/A,[Recension](https://www.google.com/search?q=Fist+of+Legend+1994+movie+review),D:\Film Asia\Hong Kong och Kina\Fist.Of.Legend.1994.1080p.mp4,,,X
Full Contact,1992,Ringo Lam,Hongkong,"Action, Crime",96 min,"Chow Yun-fat, Simon Yam",Ringo Lam,Teddy Robin Kwan,N/A,[Recension](https://www.google.com/search?q=Full+Contact+1992+movie+review),D:\Film Asia\Hong Kong och Kina\Full.Contact.1992.1080p.mp4,,,X
Game of Death,1978,Robert Clouse,Hongkong/USA,"Action, Martial Arts",100 min,"Bruce Lee, Gig Young",Raymond Chow,John Barry,N/A,[Recension](https://www.google.com/search?q=Game+of+Death+1978+movie+review),D:\Film Asia\Hong Kong och Kina\Game of Death 1978 1080p.mkv,,,X
God of Gamblers,1989,Wong Jing,Hongkong,"Action, Comedy",126 min,"Chow Yun-fat, Andy Lau",Jimmy Heung,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=God+of+Gamblers+1989+movie+review),D:\Film Asia\Hong Kong och Kina\God.Of.Gamblers.1989.1080p.mp4,,,X
Hard Boiled,1992,John Woo,Hongkong,"Action, Crime",128 min,"Chow Yun-fat, Tony Leung",Terence Chang,Michael Gibbs,N/A,[Recension](https://www.google.com/search?q=Hard+Boiled+1992+movie+review),D:\Film Asia\Hong Kong och Kina\Hard Boiled (1992).mkv,,,X
Hero,2002,Zhang Yimou,Kina/Hongkong,"Action, History",107 min,"Jet Li, Tony Leung, Maggie Cheung",Bill Kong,Tan Dun,Ellen Poon,[Recension](https://www.google.com/search?q=Hero+2002+movie+review),D:\Film Asia\Hong Kong och Kina\Hero.2002[DVD]-PANAM.mkv,,,X
Heroes Two,1974,Chang Cheh,Hongkong,"Action, Martial Arts",91 min,"Chen Kuan-tai, Alexander Fu Sheng",Run Run Shaw,Chen Yung-yu,N/A,[Recension](https://www.google.com/search?q=Heroes+Two+1974+movie+review),D:\Film Asia\Hong Kong och Kina\Heroes.Two.1974.1080p.mp4,,,X
In the Mood for Love,2000,Wong Kar-wai,Hongkong,"Drama, Romance",98 min,"Tony Leung, Maggie Cheung",Wong Kar-wai,Michael Galasso,N/A,[Recension](https://www.google.com/search?q=In+the+Mood+for+Love+2000+review),D:\Film Asia\Hong Kong och Kina\In.The.Mood.For.Love.2000.2160p.4K.mkv,,,X
Ip Man 2,2010,Wilson Yip,Hongkong,"Action, Biography",108 min,"Donnie Yen, Sammo Hung",Raymond Wong,Kenji Kawai,N/A,[Recension](https://www.google.com/search?q=Ip+Man+2+2010+movie+review),D:\Film Asia\Hong Kong och Kina\Ip.Man.2.2010.2160p.4K.mkv,,,X
Ip Man,2008,Wilson Yip,Hongkong,"Action, Biography",106 min,"Donnie Yen, Simon Yam",Raymond Wong,Kenji Kawai,N/A,[Recension](https://www.google.com/search?q=Ip+Man+2008+movie+review),D:\Film Asia\Hong Kong och Kina\Ip.Man.2008.2160p.4K.mkv,,,X
Ip Man 3,2015,Wilson Yip,Hongkong,"Action, Biography",105 min,"Donnie Yen, Mike Tyson",Raymond Wong,Kenji Kawai,N/A,[Recension](https://www.google.com/search?q=Ip+Man+3+2015+movie+review),D:\Film Asia\Hong Kong och Kina\Ip.Man.3.2015.2160p.4K.mkv,,,X
Just Heroes,1989,"John Woo, Wu Ma",Hongkong,"Action, Crime",97 min,"David Chiang, Danny Lee",Tsui Hark,N/A,N/A,[Recension](https://www.google.com/search?q=Just+Heroes+1989+movie+review),D:\Film Asia\Hong Kong och Kina\Just.Heroes.1989.1080p.mp4,,,X
Raise the Red Lantern,1991,Zhang Yimou,Kina/Hongkong,"Drama, History",125 min,"Gong Li, He Caifei",Chiu Fu-sheng,Zhao Jiping,N/A,[Recension](https://www.google.com/search?q=Raise+the+Red+Lantern+1991+review),D:\Film Asia\Hong Kong och Kina\Lanterne Rosse - Raise the Red Lantern (1991).mkv,,,X
